Brand,Model,Selling_Price,Year,Seller_Type,Owner,KM_Driven,Ex_Showroom_Price
TVS,TVS XL 100,30000,2017,Individual,1st owner,8000,30490
Bajaj,Bajaj  ct 100,18000,2017,Individual,1st owner,35000,32000
Yo,Yo Style,20000,2011,Individual,1st owner,10000,37675
Bajaj,Bajaj Discover 100,25000,2010,Individual,1st owner,43000,42859
Bajaj,Bajaj Discover 100,24999,2012,Individual,2nd owner,35000,42859
Bajaj,Bajaj Discover 100,20000,2012,Individual,1st owner,85000,42859
Bajaj,Bajaj Discover 100,30000,2011,Individual,1st owner,45000,42859
Bajaj,Bajaj Discover 100,25000,2010,Individual,2nd owner,28000,42859
Bajaj,Bajaj Discover 100,28000,2015,Individual,2nd owner,52000,42859
Bajaj,Bajaj Discover 100,22000,2014,Individual,1st owner,14289,42859
Bajaj,Bajaj Discover 100,24000,2014,Individual,1st owner,31000,42859
Bajaj,Bajaj Discover 100,21000,2009,Individual,1st owner,50000,42859
Bajaj,Bajaj Discover 100,23000,2012,Individual,1st owner,50000,42859
TVS,TVS Scooty Streak,18000,2009,Individual,2nd owner,33595,44140
Honda,Honda Navi [2016-2017],26000,2016,Individual,1st owner,17450,44389
Honda,Honda Navi [2016-2017],42000,2017,Individual,1st owner,24000,44389
Honda,Honda Navi [2016-2017],23000,2016,Individual,1st owner,17450,44389
Mahindra,Mahindra Flyte,22000,2009,Individual,3rd owner,20000,44493
Bajaj,Bajaj Discover 100 M,20000,2011,Individual,1st owner,37734,44756
Bajaj,Bajaj Discover 100 M,32000,2014,Individual,1st owner,30000,44756
Hero,Hero Splendor NXG,18000,2011,Individual,1st owner,35000,44814
TVS,TVS Star City,15000,2006,Individual,1st owner,40000,46575
Hero,Hero Pleasure [2005-2015],30000,2013,Individual,1st owner,25000,46779
Bajaj,Bajaj Discover 100,27000,2015,Individual,1st owner,21000,47000
Bajaj,Bajaj Discover 100 T,25000,2013,Individual,1st owner,26000,47032
Bajaj,Bajaj Discover 100 T,18000,2013,Individual,1st owner,45000,47032
Bajaj,Bajaj Discover 100 T,25000,2014,Individual,1st owner,30000,47032
Bajaj,Bajaj Discover 100 T,20000,2013,Individual,1st owner,20000,47032
TVS,TVS Star City,21000,2011,Individual,1st owner,101000,47108
TVS,TVS Star City,25000,2016,Individual,1st owner,50000,47108
Bajaj,Bajaj Discover 125 M,45000,2014,Individual,1st owner,40000,47186
Honda,Honda Navi,28000,2016,Individual,2nd owner,10000,47255
Mahindra,Mahindra Rodeo,20000,2013,Individual,1st owner,7000,47343
Hero,Hero Splender Plus,30000,2018,Individual,1st owner,50000,48000
Bajaj,Bajaj Discover 125 M,30000,2014,Individual,1st owner,45000,49146
Honda,Honda CB Twister,70000,2014,Individual,1st owner,12566,49150
Honda,Honda Dream Neo,45000,2017,Individual,2nd owner,21000,49211
Honda,Honda Dream Neo,50000,2014,Individual,1st owner,25000,49211
Hero,Hero Maestro,25000,2015,Individual,2nd owner,40000,49412
Hero,Hero Maestro,30000,2013,Individual,1st owner,60000,49412
Hero,Hero Maestro,50000,2016,Individual,1st owner,100000,49412
Yamaha,Yamaha Saluto RX,40000,2017,Individual,1st owner,27000,49521
Hero,Hero Pleasure,26500,2013,Individual,1st owner,18860,49600
Hero,Hero Pleasure,20000,2012,Individual,2nd owner,30000,49600
Hero,Hero Pleasure,30000,2013,Individual,1st owner,25000,49600
Hero,Hero Splendor PRO,28000,2015,Individual,1st owner,38000,49642
Hero,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,49900
Suzuki,Suzuki Let''s,34000,2014,Individual,1st owner,8000,50098
Honda,Honda Activa [2000-2015],22989,2012,Individual,1st owner,500000,50267
Honda,Honda Activa [2000-2015],30000,2014,Individual,1st owner,52000,50267
Honda,Honda Activa [2000-2015],25000,2014,Individual,1st owner,41000,50267
Honda,Honda Activa [2000-2015],20000,2010,Individual,1st owner,50000,50267
Honda,Honda Activa [2000-2015],35000,2014,Individual,1st owner,10000,50267
Honda,Honda Activa [2000-2015],29500,2013,Individual,1st owner,45000,50267
Honda,Honda Activa [2000-2015],10000,2009,Individual,1st owner,60000,50267
Honda,Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267
Honda,Honda Activa [2000-2015],25000,2009,Individual,1st owner,585659,50267
Honda,Honda Activa [2000-2015],22000,2014,Individual,1st owner,38000,50267
Honda,Honda Activa [2000-2015],25000,2012,Individual,1st owner,40000,50267
Honda,Honda Activa [2000-2015],30000,2012,Individual,1st owner,22000,50267
Honda,Honda Activa [2000-2015],35000,2013,Individual,1st owner,29500,50267
Honda,Honda Activa [2000-2015],50000,2014,Individual,1st owner,48000,50267
Honda,Honda Activa [2000-2015],15000,2006,Individual,1st owner,50000,50267
Honda,Honda Activa [2000-2015],16600,2010,Individual,1st owner,100000,50267
Honda,Honda Activa [2000-2015],25000,2012,Individual,1st owner,38000,50267
Honda,Honda Activa [2000-2015],6000,2006,Individual,2nd owner,35000,50267
Honda,Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267
Honda,Honda Activa [2000-2015],25000,2015,Individual,1st owner,25000,50267
Honda,Honda Activa [2000-2015],25000,2007,Individual,1st owner,17860,50267
Honda,Honda Activa [2000-2015],35000,2012,Individual,1st owner,29000,50267
Honda,Honda Activa [2000-2015],18000,2011,Individual,1st owner,28000,50267
Hero,Hero Duet,45000,2017,Individual,1st owner,35000,50280
Hero,Hero Duet,27000,2016,Individual,1st owner,28000,50280
Hero,Hero Duet,37000,2016,Individual,1st owner,6000,50280
Honda,Honda Activa 4G,48000,2019,Individual,1st owner,4300,51000
Honda,Honda Activa 4G,45000,2019,Individual,1st owner,4000,51000
Activa,Activa 4g,40000,2019,Individual,1st owner,1300,51000
Hero,Hero Honda Passion Pro,30000,2014,Individual,1st owner,60000,51000
Honda,Honda CB twister,25000,2015,Individual,1st owner,32000,51000
Honda,Honda CB twister,16000,2012,Individual,1st owner,33000,51000
Honda,Honda Activa i [2016-2017],30000,2015,Individual,2nd owner,20000,51112
Mahindra,Mahindra Gusto,25000,2016,Individual,1st owner,13500,51185
Mahindra,Mahindra Gusto,30000,2015,Individual,2nd owner,20000,51185
Hero,Hero Pleasure,40000,2014,Individual,1st owner,14000,51600
Hero,Hero Pleasure,30000,2013,Individual,1st owner,24000,51600
Suzuki,Suzuki Swish [2012-2015],30000,2014,Individual,1st owner,30000,51685
Hero,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,51994
Hero,Hero Splendor PRO,40000,2016,Individual,1st owner,16000,51994
Hero,Hero Splendor PRO,24000,2011,Individual,1st owner,43000,51994
Hero,Hero Splendor PRO,35000,2015,Individual,1st owner,35280,51994
TVS,TVS Sport ,48000,2019,Individual,1st owner,15000,52000
TVS,TVS Jupyter,35000,2016,Individual,1st owner,19000,52000
TVS,TVS Wego,25000,2012,Individual,1st owner,22000,52000
Activa,Activa 3g,17000,2010,Individual,1st owner,500000,52000
Hero,Hero Splendor iSmart,50000,2017,Individual,2nd owner,10000,52271
Hero,Hero Splendor iSmart,40000,2015,Individual,1st owner,19055,52271
Hero,Hero Splendor iSmart,40000,2015,Individual,1st owner,10000,52271
TVS,TVS Scooty Zest 110,28000,2015,Individual,1st owner,32800,52372
Bajaj,Bajaj Discover 110,15000,2007,Individual,1st owner,70000,52710
Hero,Hero Maestro Edge,25000,2017,Individual,1st owner,55000,52790
Hero,Hero Maestro Edge,55000,2018,Individual,1st owner,39000,52790
Yamaha,Yamaha Ray Z,35000,2015,Individual,1st owner,15500,52949
Yamaha,Yamaha Ray Z,75000,2017,Individual,1st owner,15000,52949
Honda,Honda Activa 4G,45000,2018,Individual,1st owner,25000,53079
Honda,Honda Dream Neo,42000,2014,Individual,1st owner,21000,53415
Honda,Honda Activa i [2016-2017],40000,2017,Individual,1st owner,11000,53436
Honda,Honda Activa i [2016-2017],35000,2016,Individual,1st owner,29000,53436
TVS,TVS Scooty Zest 110,30000,2017,Individual,1st owner,9432,53751
TVS,TVS Scooty Zest 110,55000,2018,Individual,1st owner,380,53751
Hero,Hero Maestro,26500,2016,Individual,2nd owner,40000,53830
Honda,Honda CB Twister,18000,2010,Individual,1st owner,60000,53857
Honda,Honda CB Twister,30000,2013,Individual,1st owner,9000,53857
Honda,Honda CB Twister,25000,2012,Individual,1st owner,86000,53857
Honda,Honda Activa i,32000,2013,Individual,2nd owner,20696,53900
Honda,Honda Activa i,30000,2014,Individual,1st owner,25000,53900
Honda,Honda Dream Yuga ,48000,2019,Individual,1st owner,8600,54000
Hero,Hero Splender iSmart,45000,2018,Individual,1st owner,14000,54000
Activa,Activa 3g,45000,2018,Individual,1st owner,500,54000
Hero,Hero Splender iSmart,40000,2017,Individual,1st owner,14000,54000
Hero,Hero Duet,35000,2016,Individual,2nd owner,49637,54080
Yamaha,Yamaha Alpha,25000,2015,Individual,2nd owner,14000,54253
Bajaj,Bajaj Discover 150,25000,2014,Individual,2nd owner,71000,54299
Bajaj,Bajaj Discover 150,30000,2012,Individual,1st owner,50000,54299
Bajaj,Bajaj Discover 150,30000,2011,Individual,2nd owner,39500,54299
Bajaj,Bajaj Discover 150,25000,2008,Individual,1st owner,25000,54299
Bajaj,Bajaj Discover 150,25000,2011,Individual,1st owner,52000,54299
Bajaj,Bajaj Discover 150,35000,2015,Individual,1st owner,12000,54299
Hero,Hero Passion PRO i3s,55000,2017,Individual,1st owner,14600,54475
Hero,Hero Passion PRO i3s,55000,2018,Individual,1st owner,15000,54475
Hero,Hero Passion PRO i3s,35000,2016,Individual,1st owner,18000,54475
Yamaha,Yamaha Fascino 110,45000,2016,Individual,1st owner,56000,54500
Yamaha,Yamaha Fascino 110,38000,2016,Individual,1st owner,37000,54500
Hero,Hero Maestro Edge,58000,2018,Individual,1st owner,6000,54580
Hero,Hero Passion PRO TR,45000,2014,Individual,1st owner,36000,54586
Hero,Hero Passion PRO TR,35000,2014,Individual,1st owner,9556,54586
Yamaha,Yamaha YBR 125,36000,2014,Individual,1st owner,20400,54593
Yamaha,Yamaha YBR 125,35000,2013,Individual,1st owner,20350,54593
Honda,Honda Activa 3G,30000,2015,Individual,1st owner,39000,54605
Honda,Honda Activa 3G,60000,2015,Individual,1st owner,30000,54605
Honda,Honda Activa 3G,40000,2015,Individual,1st owner,3000,54605
Honda,Honda Activa 3G,47999,2016,Individual,1st owner,6000,54605
Honda,Honda Activa 3G,42000,2015,Individual,1st owner,20000,54605
Honda,Honda Activa 3G,40000,2015,Individual,1st owner,7672,54605
Honda,Honda Activa 3G,25000,2011,Individual,1st owner,20000,54605
Honda,Honda Activa 3G,45000,2015,Individual,1st owner,18000,54605
Honda,Honda Activa 3G,50000,2016,Individual,1st owner,5326,54605
Honda,Honda Activa 3G,32000,2015,Individual,1st owner,4500,54605
Honda,Honda Activa 3G,35000,2016,Individual,1st owner,51000,54605
Honda,Honda Activa 3G,30000,2015,Individual,1st owner,18000,54605
Honda,Honda Activa 3G,40000,2016,Individual,1st owner,60000,54605
Honda,Honda Activa 3G,40000,2015,Individual,1st owner,36000,54605
Honda,Honda Activa 3G,50000,2016,Individual,1st owner,6000,54605
TVS,TVS Wego,45000,2018,Individual,1st owner,10000,54760
TVS,TVS Wego,15000,2011,Individual,1st owner,65000,54760
TVS,TVS Wego,15000,2011,Individual,2nd owner,20000,54760
TVS,TVS Victor,20000,2001,Individual,1st owner,50000,54852
TVS,TVS Victor,18000,2004,Individual,1st owner,46700,54852
TVS,TVS Victor,10000,2005,Individual,1st owner,55000,54852
Hero,Hero Passion X pro,50000,2018,Individual,1st owner,31000,55000
Hero,Hero Passion Pro,45000,2018,Individual,1st owner,1000,55000
Hero,Hero Passion Pro,40000,2017,Individual,1st owner,6700,55000
Hero,Hero Splendor Plus i3s,70000,2019,Individual,1st owner,3000,55600
Hero,Hero Splendor Plus i3s,65000,2019,Individual,1st owner,1000,55600
Hero,Hero Maestro Edge,40000,2017,Individual,1st owner,15000,55980
Hero,Hero Maestro Edge,46000,2015,Individual,1st owner,14000,55980
Honda,Honda Dream Yuga,25000,2012,Individual,1st owner,35000,56147
Honda,Honda Dream Yuga,35000,2014,Individual,1st owner,10000,56147
Honda,Honda Dream Yuga,48000,2018,Individual,1st owner,7110,56147
Honda,Honda Dream Yuga,25000,2013,Individual,1st owner,29000,56147
Honda,Honda Dream Yuga,32000,2017,Individual,1st owner,39000,56147
Honda,Honda Dream Yuga,47000,2019,Individual,1st owner,8800,56147
Honda,Honda Dream Yuga,35000,2015,Individual,1st owner,39448,56147
Honda,Honda Dream Yuga,45000,2017,Individual,1st owner,26000,56147
Honda,Honda Dream Yuga,30000,2015,Individual,2nd owner,46070,56147
Hero,Hero Passion XPro,28000,2012,Individual,1st owner,81000,56750
Hero,Hero Passion PRO i3s,50000,2017,Individual,1st owner,41000,56925
Hero,Hero Passion PRO i3s,50000,2017,Individual,1st owner,18000,56925
Honda,Honda Activa 125,35000,2018,Individual,1st owner,24000,57000
Hero,Hero Glamour,25000,2015,Individual,1st owner,18000,57000
Hero,Hero Super Splendor,20000,2007,Individual,1st owner,55000,57000
Bajaj,Bajaj Discover 125,20000,2014,Individual,2nd owner,25000,57000
Bajaj,Bajaj Discover 125,15000,2013,Individual,2nd owner,35000,57000
Yamaha,Yamaha Fascino 110,69000,2019,Individual,1st owner,1600,57112
Yamaha,Yamaha Fascino 110,55000,2019,Individual,1st owner,7000,57112
Honda,Honda CB Twister,25000,2015,Individual,1st owner,35000,57241
Honda,Honda CB Twister,30000,2012,Individual,1st owner,50000,57241
Bajaj,Bajaj Discover 125,25000,2013,Individual,1st owner,55000,57549
Bajaj,Bajaj Discover 125,15000,2011,Individual,1st owner,32000,57549
Bajaj,Bajaj Discover 125,10000,2006,Individual,1st owner,51000,57549
Bajaj,Bajaj Discover 125,15000,2011,Individual,1st owner,47000,57549
Bajaj,Bajaj Discover 125,26000,2012,Individual,1st owner,75000,57549
Bajaj,Bajaj Discover 125,25000,2011,Individual,1st owner,70000,57549
Bajaj,Bajaj Discover 125,23000,2011,Individual,1st owner,66000,57549
Honda,Honda Activa 5G,60000,2018,Individual,1st owner,6502,57557
Honda,Honda Activa 5G,62000,2019,Individual,1st owner,3500,57557
Honda,Honda Activa 5G,55000,2019,Individual,1st owner,10000,57557
Honda,Honda Activa 5G,42000,2018,Individual,1st owner,22000,57557
Honda,Honda Activa 5G,46000,2018,Individual,1st owner,10000,57557
Honda,Honda Activa 5G,50000,2018,Individual,1st owner,25000,57957
Honda,Honda CB Shine,30000,2015,Individual,1st owner,30000,58000
Suzuki,Suzuki Access 125,25000,2010,Individual,1st owner,1900,58000
Honda,Honda CB Shine,12000,2009,Individual,1st owner,53000,58000
Suzuki,Suzuki Access 125 [2007-2016],25000,2012,Individual,1st owner,55000,58314
Suzuki,Suzuki Access 125 [2007-2016],22000,2010,Individual,2nd owner,43000,58314
Suzuki,Suzuki Access 125 [2007-2016],16000,2011,Individual,1st owner,40000,58314
Suzuki,Suzuki Access 125 [2007-2016],30000,2012,Individual,1st owner,23000,58314
Bajaj,Bajaj Discover 125 ST,17500,2013,Individual,1st owner,38000,58438
Bajaj,Bajaj Discover 125 ST,25000,2012,Individual,1st owner,76000,58438
Yamaha,Yamaha Cygnus Ray ZR,56000,2019,Individual,1st owner,3900,58630
Honda,Honda CBF Stunner,35000,2013,Individual,1st owner,15888,58757
Honda,Honda CBF Stunner,37000,2014,Individual,1st owner,43000,58757
Hero,Hero Passion XPro,45000,2018,Individual,1st owner,7000,58900
Bajaj,Bajaj V12,45000,2017,Individual,1st owner,35000,58906
Hero,Hero Passion X Pro [2016-2017],38000,2016,Individual,2nd owner,20000,59095
Hero,Hero Passion X Pro [2016-2017],42000,2016,Individual,1st owner,15500,59095
Honda,Honda Aviator,14000,2008,Individual,1st owner,66000,59183
Honda,Honda Aviator,28000,2009,Individual,1st owner,29625,59183
Honda,Honda Aviator,30000,2014,Individual,1st owner,7000,59183
Honda,Honda Aviator,25000,2012,Individual,2nd owner,12000,59183
Honda,Honda Activa 5G,70000,2019,Individual,1st owner,3000,59422
Honda,Honda Activa 5G,55000,2019,Individual,1st owner,9000,59422
Honda,Honda Activa 5G,50000,2018,Individual,1st owner,14000,59422
Honda,Honda Activa 5G,51000,2018,Individual,1st owner,14000,59422
Honda,Honda Activa 5G,62000,2019,Individual,1st owner,11200,59422
Honda,Honda Activa 5G,65000,2019,Individual,1st owner,3025,59422
Hero,Hero Passion XPro,25000,2013,Individual,1st owner,25000,59640
Yamaha,Yamaha Saluto,60000,2018,Individual,1st owner,13000,59844
Yamaha,Yamaha Saluto,74000,2019,Individual,1st owner,13000,59844
Bajaj,Bajaj Discover 125,50000,2016,Individual,1st owner,42000,60122
Bajaj,Bajaj Discover 125,25000,2011,Individual,1st owner,57000,60122
Bajaj,Bajaj Discover 125,28000,2013,Individual,1st owner,45000,60122
Bajaj,Bajaj Discover 125,25000,2016,Individual,1st owner,70350,60122
Bajaj,Bajaj Discover 125,38000,2018,Individual,1st owner,34000,60122
Bajaj,Bajaj Discover 125,45000,2016,Individual,1st owner,20000,60122
Bajaj,Bajaj Discover 125,50000,2018,Individual,1st owner,6000,60122
Honda,Honda Aviator,57000,2018,Individual,1st owner,6465,61118
Honda,Honda Activa 125 [2016-2017],40000,2017,Individual,1st owner,26000,61545
Honda,Honda Activa 125 [2016-2017],55000,2018,Individual,1st owner,18000,61545
Honda,Honda Activa 125 [2016-2017],50000,2017,Individual,1st owner,27000,61545
Hero,Hero Glamour 125,55000,2017,Individual,1st owner,2500,61600
Hero,Hero Glamour 125,45000,2018,Individual,1st owner,21000,61600
Hero,Hero Glamour 125,45000,2017,Individual,1st owner,18000,61600
Hero,Hero Glamour 125,38000,2016,Dealer,1st owner,5500,61600
Hero,Hero Glamour 125,40000,2016,Individual,1st owner,15000,61600
Hero,Hero Glamour 125,40000,2015,Individual,1st owner,71250,61600
Hero,Hero Glamour 125,25000,2013,Individual,1st owner,50000,61600
Hero,Hero Glamour 125,15000,2011,Individual,1st owner,75000,61600
Hero,Hero Glamour 125,54000,2013,Individual,1st owner,17000,61600
Hero,Hero Glamour 125,50000,2017,Individual,1st owner,8600,61600
Hero,Hero Glamour 125,35000,2014,Individual,1st owner,450000,61600
Honda,Honda Activa 125 [2016-2017],42000,2016,Individual,1st owner,30514,61653
Honda,Honda CB Shine SP,50000,2017,Individual,1st owner,34300,62317
Yamaha,Yamaha Saluto,38000,2015,Individual,1st owner,15000,63180
Bajaj,Bajaj Discover 150S,40000,2014,Individual,1st owner,50000,63331
Bajaj,Bajaj Discover 150S,35000,2015,Individual,1st owner,28000,63331
Honda,Honda Aviator,41000,2013,Individual,1st owner,36500,63537
Honda,Honda Aviator,28000,2013,Individual,1st owner,28087,63537
Bajaj,Bajaj Pulsar 135 LS,40000,2016,Individual,1st owner,13700,64000
Bajaj,Bajaj Discover 150F,40000,2014,Individual,2nd owner,60855,64071
Bajaj,Bajaj Discover 150F,30000,2015,Individual,1st owner,12000,64071
Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,2nd owner,50000,64589
Bajaj,Bajaj Pulsar 135 LS,56000,2017,Individual,3rd owner,37714,64589
Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589
Bajaj,Bajaj Pulsar 135 LS,23000,2010,Individual,1st owner,77000,64589
Bajaj,Bajaj Pulsar 135 LS,40000,2018,Individual,1st owner,15000,64589
Bajaj,Bajaj Pulsar 135 LS,24000,2010,Individual,1st owner,45000,64589
Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589
Bajaj,Bajaj Pulsar 135 LS,25000,2011,Individual,2nd owner,30000,64589
Bajaj,Bajaj Pulsar 135 LS,45000,2014,Individual,1st owner,14000,64589
Bajaj,Bajaj Pulsar 135 LS,20000,2011,Individual,1st owner,60000,64589
Bajaj,Bajaj Pulsar 135 LS,45000,2017,Individual,1st owner,22000,64589
Bajaj,Bajaj Pulsar 135 LS,50000,2015,Individual,1st owner,48000,64589
Honda,Honda CB Shine SP,47000,2017,Individual,1st owner,73000,64750
Honda,Honda CB Shine SP,50000,2018,Individual,1st owner,37000,64750
Honda,Honda CB Shine SP,42000,2017,Individual,1st owner,19800,64750
Honda,Honda CB Shine SP,50000,2016,Individual,1st owner,45000,64750
Hero,Hero  Ignitor Disc,20000,2015,Individual,2nd owner,24000,65000
Hero,Hero Ignitor,36000,2016,Individual,1st owner,23000,65599
Bajaj,Bajaj V15,42000,2016,Individual,1st owner,35000,65626
Bajaj,Bajaj V15,50000,2017,Individual,1st owner,9000,65626
Bajaj,Bajaj V15,45000,2015,Individual,1st owner,2700,65626
Bajaj,Bajaj V15,76000,2018,Individual,1st owner,23000,65626
Yamaha,Yamaha SZ X,25000,2012,Individual,2nd owner,30000,65800
Yamaha,Yamaha SZ X,35000,2010,Individual,1st owner,46000,65800
TVS,TVS Radeon,35000,2017,Individual,1st owner,20000,66492
Honda,Honda CB Shine SP,41000,2017,Individual,1st owner,33000,66697
Bajaj,Bajaj V15,40000,2016,Individual,1st owner,45000,67187
Bajaj,Bajaj V15,42000,2016,Individual,1st owner,19500,67187
Bajaj,Bajaj V15,40000,2016,Individual,1st owner,34000,67187
Bajaj,Bajaj V15,45000,2016,Individual,1st owner,36000,67187
Bajaj,Bajaj V15,70000,2018,Individual,1st owner,15000,67187
Honda,Honda CB Shine SP,50000,2016,Individual,1st owner,46000,67214
Honda,Honda CB Shine SP,48000,2015,Individual,1st owner,25000,67469
Hero,Hero Ignitor,35000,2014,Individual,1st owner,33200,67722
Hero,Hero Ignitor,30000,2016,Individual,1st owner,18000,67722
Hero,Hero Achiever 150,29900,2016,Individual,1st owner,55000,69750
Hero,Hero Achiever 150,38000,2017,Individual,1st owner,26000,69750
Hero,Hero Achiever 150,65000,2016,Individual,1st owner,29000,69750
Yamaha,Yamaha SZ RR V 2.0,35000,2015,Individual,1st owner,38000,69983
Suzuki,Suzuki GS150R,30000,2010,Individual,1st owner,130000,70851
Suzuki,Suzuki GS150R,27000,2012,Individual,1st owner,14100,70851
Honda,Honda CB Shine SP,62000,2019,Individual,1st owner,10000,71049
Hero,Hero Glamour FI,50000,2018,Individual,1st owner,20000,71150
Hero,Hero Glamour FI,30900,2014,Individual,1st owner,25000,71150
Hero,Hero Glamour FI,75000,2019,Individual,1st owner,8900,71150
Honda,Honda CB Unicorn,45000,2010,Individual,1st owner,75000,71681
Honda,Honda CB Unicorn Dazzler,22000,2011,Individual,1st owner,38350,71757
Honda,Honda CB Unicorn Dazzler,50000,2010,Individual,1st owner,75000,71757
Honda,Honda CB Unicorn Dazzler,25000,2011,Individual,1st owner,40000,71757
Honda,Honda CB Unicorn,38000,2017,Individual,1st owner,38600,72000
Vespa,Vespa VX 125,45000,2013,Individual,2nd owner,50000,72303
Hero,Hero Xtreme [2013-2014],45000,2014,Individual,1st owner,56420,72492
Yamaha,Yamaha SZ-S,50000,2014,Individual,1st owner,20000,72532
Hero,Hero Xtreme 2014,35000,2013,Individual,1st owner,15000,72973
Hero,Hero Xtreme 2014,50000,2014,Individual,1st owner,10000,72973
Honda,Honda CB Trigger,42000,2015,Individual,1st owner,12000,73000
Honda,Honda CB Trigger,30000,2015,Individual,1st owner,40000,73413
Bajaj,Bajaj Pulsar 150,65000,2017,Individual,1st owner,5000,74000
Honda,Honda CB Unicorn 150,50000,2014,Individual,1st owner,32000,74295
Honda,Honda CB Unicorn 150,50000,2007,Individual,1st owner,46000,74295
Honda,Honda CB Unicorn 150,70000,2017,Individual,1st owner,18000,74295
Honda,Honda CB Unicorn 150,40000,2014,Individual,1st owner,77592,74295
Honda,Honda CB Unicorn 150,75000,2013,Individual,1st owner,54000,74295
Honda,Honda CB Unicorn 150,50000,2013,Individual,1st owner,17000,74295
Honda,Honda CB Unicorn 150,50000,2016,Individual,1st owner,27000,74295
Honda,Honda CB Unicorn 150,55000,2017,Individual,1st owner,12000,74295
Honda,Honda CB Unicorn 150,60000,2017,Individual,1st owner,12652,74295
Honda,Honda CB Unicorn 150,30000,2010,Individual,1st owner,69000,74295
Honda,Honda CB Unicorn 150,45000,2016,Individual,2nd owner,50000,74295
Honda,Honda CB Unicorn 150,55000,2014,Individual,1st owner,10000,74295
Honda,Honda CB Unicorn 150,30000,2012,Individual,1st owner,32000,74295
Honda,Honda CB Unicorn 150,42000,2013,Individual,1st owner,38000,74295
Bajaj,Bajaj Pulsar 150,25000,2010,Individual,2nd owner,26000,75000
Bajaj,Bajaj Pulsar 150,20000,2010,Individual,1st owner,60000,75000
Hero,Hero Hunk,20000,2009,Individual,2nd owner,49000,75000
Bajaj,Bajaj Pulsar 150,10000,2008,Individual,1st owner,92233,75000
Bajaj,Bajaj Avenger [2015],35000,2011,Individual,1st owner,30000,75502
Bajaj,Bajaj Avenger [2015],38000,2014,Individual,2nd owner,28243,75502
Bajaj,Bajaj Avenger [2015],35000,2012,Individual,1st owner,15000,75502
Bajaj,Bajaj Avenger [2015],65000,2015,Individual,1st owner,26000,75502
Bajaj,Bajaj Avenger [2015],65000,2010,Individual,1st owner,20000,75502
Bajaj,Bajaj Avenger [2015],45000,2011,Individual,1st owner,35000,75502
Bajaj,Bajaj Avenger [2015],60000,2015,Individual,2nd owner,16000,75502
Hero,Hero Xtreme [2013-2014],25000,2013,Individual,1st owner,24000,75936
Hero,Hero Xtreme [2013-2014],45000,2013,Individual,1st owner,57000,75936
Honda,Honda CB Trigger,40000,2015,Individual,1st owner,75000,76572
Honda,Honda CB Trigger,45000,2013,Individual,1st owner,20000,76572
Suzuki,Suzuki Access 125,70000,2018,Individual,1st owner,7000,76632
Honda,Honda CB Unicorn 160,75000,2016,Individual,1st owner,40000,77545
Honda,Honda CB Unicorn 160,50000,2017,Individual,1st owner,52000,77545
