Make,Colour,Odometer (KM),Doors,Price
Nissan,Black,10148,4,Rs1366850
Toyota,White,10217,4,Rs1144150
Toyota,White,10247,4,Rs1628300
Honda,White,10953,4,Rs831800
Nissan,Blue,10954,4,Rs1521950
Honda,Red,11035,4,Rs530100
BMW,Black,11049,3,Rs975000
Honda,White,11119,4,Rs1042250
Toyota,White,12141,4,Rs877800
Toyota,Red,13050,4,Rs453700
Honda,White,13116,4,Rs823200
,Black,13266,4,Rs725100
Toyota,White,14497,4,Rs991900
Toyota,Blue,14645,4,Rs1066300
Honda,White,14700,4,Rs1348650
Honda,Red,16079,4,Rs497700
BMW,White,16274,5,Rs2622900
Honda,Black,16933,4,Rs608600
Nissan,Green,17119,4,Rs308000
Toyota,Blue,17609,4,
Toyota,Black,17975,4,Rs897000
Nissan,Blue,18044,3,Rs711350
Honda,White,18246,4,Rs1084200
BMW,White,18394,5,
Toyota,White,18812,4,Rs1132150
Honda,White,18933,4,Rs400700
Nissan,,18994,4,Rs390650
Nissan,White,19134,4,Rs1171950
Nissan,White,19265,4,Rs1072550
,White,19482,3,Rs1560400
Nissan,White,20315,4,Rs406850
Toyota,Black,20714,4,Rs1520350
Toyota,White,20985,4,Rs1667650
Toyota,White,21083,4,Rs1766650
Honda,Blue,21146,4,Rs1153200
Honda,White,21393,4,Rs1024500
Toyota,White,22257,4,Rs1393400
Honda,,22409,4,Rs521450
Toyota,White,22788,4,Rs339200
Toyota,Blue,23241,4,Rs710150
,Blue,23545,4,Rs696600
Toyota,Blue,23637,4,
BMW,White,23996,5,Rs2411950
Nissan,White,24077,4,Rs777050
Honda,White,24180,4,Rs485500
Nissan,Blue,24219,3,Rs514150
Honda,White,24358,4,Rs1333750
Nissan,White,24420,4,Rs709900
Nissan,White,24741,4,Rs1042000
Toyota,Black,24764,4,Rs442800
Honda,White,25729,4,Rs457750
Toyota,White,26191,4,Rs768600
BMW,White,26531,5,Rs970400
Honda,Blue,26616,4,Rs476050
Nissan,White,26634,4,Rs601200
Toyota,White,26655,4,Rs587450
Toyota,Black,26798,4,Rs1413800
Honda,Blue,26824,4,Rs1421100
BMW,Green,26839,5,Rs761200
Toyota,Black,26979,4,Rs1771600
,Black,27139,4,Rs1146050
Honda,Black,27788,4,Rs945950
Nissan,Blue,28390,3,Rs325200
Honda,Blue,28561,4,Rs710200
Honda,,28625,4,Rs437650
Honda,White,28791,4,Rs952600
Toyota,White,28809,4,Rs1106950
Honda,White,29514,4,Rs967850
BMW,White,29534,5,Rs1420700
Honda,White,29541,4,Rs434500
Toyota,Red,29689,4,Rs437150
Toyota,Blue,29856,4,Rs569600
Honda,White,30080,4,Rs921450
Honda,Blue,30120,4,Rs317850
Toyota,White,30334,4,Rs1784350
Honda,,30615,4,Rs1482650
BMW,Blue,31277,5,Rs906950
Honda,White,31418,4,Rs1140800
Honda,Blue,31677,4,Rs1087700
Toyota,White,32748,4,Rs1516150
Nissan,Green,32754,4,Rs657300
Honda,,33261,4,Rs1405200
BMW,,33320,3,Rs1394400
Toyota,Red,33400,4,Rs619900
Toyota,Blue,33461,4,
BMW,Red,33911,5,
Nissan,Blue,34024,4,Rs1196450
Toyota,Blue,34097,4,Rs1007100
Toyota,Blue,34521,4,Rs1509550
Honda,White,34822,4,Rs730650
Honda,White,35431,4,Rs766150
Toyota,White,35673,4,Rs1784150
BMW,Red,35807,5,Rs879800
Toyota,Black,35820,4,Rs1602100
BMW,Blue,35837,3,Rs1659900
Toyota,White,36463,4,Rs840250
BMW,White,37513,5,Rs1618950
Honda,Green,37606,4,Rs662750
Honda,Blue,37625,4,Rs312050
Honda,Blue,37678,4,Rs318050
Toyota,Green,37703,4,
Nissan,Blue,38186,4,Rs1171900
Nissan,Blue,38233,4,Rs1174150
Honda,Black,38327,4,Rs1186400
Toyota,Blue,38544,4,Rs1714300
BMW,Red,38775,5,
BMW,White,39267,5,Rs955300
Toyota,Blue,39311,4,Rs876000
BMW,Red,39323,5,Rs934550
Nissan,,39639,3,Rs615750
Toyota,Blue,39753,4,Rs1711550
Honda,White,40134,4,Rs813650
Toyota,Black,40285,4,Rs392300
Nissan,White,40598,4,Rs1206100
Honda,Blue,40635,4,Rs620100
Honda,White,40749,4,Rs1282450
,Blue,40774,5,Rs1341700
Honda,Blue,40912,4,Rs1344250
Nissan,Blue,41554,4,Rs1576800
Toyota,Red,41735,4,Rs696400
Honda,,41846,4,Rs512050
Honda,White,42137,4,
Honda,Blue,42324,4,Rs626550
Honda,,42379,4,Rs1269100
Honda,Blue,42420,,Rs368800
Toyota,Blue,42459,4,Rs319300
Toyota,Blue,42480,4,Rs986000
Honda,Red,42652,4,Rs1194150
Honda,White,42844,4,Rs1457250
,White,43148,4,Rs1454450
Nissan,Blue,43149,4,Rs975100
Toyota,Black,43171,4,Rs1217700
Nissan,White,43191,4,
Honda,White,43437,,Rs1400650
Nissan,White,43540,,Rs463150
Nissan,White,43600,4,Rs501500
Honda,Blue,43981,4,Rs879200
Toyota,Green,44436,4,Rs865850
Toyota,Blue,44815,4,Rs423000
Honda,Black,45152,4,Rs1141250
BMW,Blue,45207,5,Rs1762700
,White,45513,5,Rs1949200
Nissan,Blue,45668,4,Rs665500
Honda,Green,46085,4,Rs1484050
Nissan,Blue,46842,4,Rs1432750
Toyota,White,46848,4,Rs889750
Honda,Green,47019,4,Rs1018500
Honda,Red,47404,4,Rs1177700
Honda,White,47712,4,Rs901450
Honda,Red,47933,4,Rs515050
Honda,,48069,4,Rs609800
Toyota,White,48184,4,Rs754750
Nissan,White,48277,4,Rs570300
Toyota,White,48674,4,
Toyota,Blue,48684,4,Rs1690850
Nissan,White,48730,4,Rs560500
,Blue,48777,4,Rs395500
Nissan,White,49310,4,Rs1357300
Toyota,Red,49807,4,Rs1288750
BMW,Blue,50363,5,Rs1505200
Honda,Blue,50417,4,Rs1292350
Honda,Blue,50475,4,Rs408200
Toyota,White,50604,4,Rs501900
Toyota,White,50756,4,Rs586900
Nissan,White,51004,4,Rs1581650
Honda,Blue,51029,4,Rs1334150
Toyota,Blue,51155,4,Rs798000
Honda,Black,51328,4,Rs533750
Toyota,,51788,4,Rs324000
Toyota,Blue,52054,4,Rs544400
Toyota,Blue,52196,4,Rs553800
Honda,White,52414,4,Rs577400
Honda,White,52563,4,Rs1303900
Honda,White,53474,4,
,White,53531,4,Rs390100
Toyota,White,53765,4,Rs929750
BMW,Black,54141,5,Rs1875900
Honda,Blue,54380,4,Rs1014100
Honda,Green,54721,4,Rs1370950
BMW,Blue,55789,3,Rs1333850
Toyota,White,55828,4,Rs1165550
Honda,White,56523,4,Rs310350
Honda,White,56534,4,Rs333800
Honda,White,56687,4,Rs306750
Honda,Green,57198,4,Rs1253400
Nissan,Blue,57558,3,Rs831100
BMW,White,57905,3,Rs2543400
Toyota,White,58054,4,Rs509000
Toyota,Green,58118,4,Rs342400
Toyota,Black,58773,4,Rs1044650
Toyota,Green,58938,4,Rs330100
Toyota,White,59222,4,Rs1633800
Toyota,Black,59249,4,Rs455400
Nissan,Black,59335,4,Rs1417700
Toyota,Green,60344,4,
,Blue,60499,5,Rs585400
Honda,Black,61120,4,Rs1518700
Honda,White,61163,4,Rs918750
Toyota,Blue,61337,4,Rs1441500
Honda,Red,61504,4,Rs602300
Toyota,White,61623,4,Rs1788000
Toyota,Green,61651,4,Rs671500
Honda,Black,61749,4,Rs464500
Honda,Blue,61828,4,Rs1389350
,,61876,4,Rs296100
Nissan,Red,61892,,Rs908000
Toyota,White,62712,4,Rs1217100
BMW,Blue,63321,3,Rs1951050
Nissan,White,63355,4,Rs1149450
Toyota,Blue,63501,4,Rs763000
Nissan,Blue,63686,4,Rs721600
Honda,Blue,63800,4,Rs1315400
Honda,Blue,63825,4,Rs1166950
Toyota,White,63832,4,Rs334900
Toyota,Blue,63975,4,Rs1092550
Nissan,White,64362,4,Rs1449650
Honda,White,64574,4,Rs882700
Toyota,Red,65435,4,Rs1247450
,Blue,65719,4,
Toyota,White,66150,4,Rs1255550
Nissan,White,66199,4,Rs1377850
,White,66461,3,Rs1293650
Toyota,White,66538,4,
Nissan,Blue,66604,4,Rs1578500
Honda,Blue,66613,4,Rs1022500
Toyota,White,66633,4,
Toyota,Blue,67120,4,
Nissan,Black,67364,,Rs780200
Honda,White,67599,,Rs525800
Honda,Blue,67875,,Rs857600
Nissan,White,67991,3,Rs455450
Toyota,Red,68125,4,Rs405250
Honda,Blue,68223,4,Rs1376500
BMW,White,69066,5,Rs1139200
Toyota,White,69222,4,Rs1468150
BMW,Blue,69358,5,Rs2363000
Nissan,Blue,69954,4,Rs1046900
Honda,White,70154,4,Rs1392600
Nissan,White,71103,4,Rs344200
Honda,White,71283,4,Rs374850
Toyota,Blue,71306,4,Rs1187350
Honda,White,71329,4,Rs506250
Toyota,Black,71463,4,Rs1560300
Nissan,Blue,71527,4,Rs898050
Toyota,White,71805,4,Rs1780000
Honda,White,71934,4,Rs1344100
Honda,Blue,71949,4,Rs875800
Toyota,White,72118,4,Rs844600
Nissan,White,72122,4,Rs1147150
Toyota,Black,72287,4,Rs696700
BMW,Blue,72575,5,Rs2064700
BMW,Blue,72663,5,Rs2001600
Toyota,White,72725,4,Rs1286750
Honda,Blue,73286,4,Rs981450
Toyota,,73360,4,Rs932650
Toyota,White,73869,4,Rs978600
Honda,Blue,73869,4,Rs1387200
,Blue,73926,4,Rs1481750
Honda,White,74192,4,Rs435300
Toyota,White,74919,4,Rs359150
Toyota,White,74984,4,Rs838300
Honda,Blue,76252,4,Rs475000
Honda,,76343,4,Rs354850
Nissan,Blue,76412,4,Rs674600
Toyota,Blue,76416,4,Rs1082650
Honda,Blue,76579,4,Rs1025550
Nissan,Green,76610,3,Rs816000
Nissan,Black,77474,4,Rs1146200
Toyota,Blue,77646,4,Rs871100
Toyota,,77677,,
,Blue,77978,4,Rs909950
Toyota,White,78123,4,Rs1231450
Honda,Blue,78153,4,Rs515800
BMW,Blue,79301,5,Rs1750200
BMW,White,79937,5,Rs2434300
Honda,White,80664,4,Rs1049050
Toyota,White,81656,4,Rs714100
Honda,Green,81764,4,Rs1450200
Toyota,Blue,81864,4,Rs1464650
Honda,White,82039,4,Rs783100
Nissan,White,82429,4,Rs448950
Honda,White,82518,4,Rs1129350
Nissan,White,82726,4,Rs890100
Honda,Green,82783,4,Rs549200
,Green,83293,4,Rs966850
BMW,White,83309,5,Rs2275450
Nissan,White,83345,4,Rs323800
Honda,Blue,83357,4,Rs1113150
Toyota,White,83594,,Rs682400
,Blue,83784,4,Rs582400
BMW,White,84327,5,Rs1911650
Honda,White,84714,4,Rs1417150
Honda,Blue,84719,4,Rs1320100
Toyota,Blue,84787,4,Rs1420700
BMW,Blue,85320,3,Rs825850
Toyota,Blue,85473,4,Rs1100100
BMW,White,85739,5,Rs2420950
Toyota,White,85800,4,Rs1025150
Honda,White,85975,4,Rs1382000
Toyota,Red,86284,,Rs1127100
Toyota,Black,86333,4,Rs496400
Honda,Red,86427,4,Rs1542700
Toyota,,86480,4,Rs815950
Toyota,Black,86696,4,Rs1516000
BMW,Blue,86805,5,Rs1705500
Toyota,White,87594,4,Rs1005000
Nissan,Green,87701,4,Rs1482800
Nissan,White,87997,4,Rs1429800
Honda,Black,88002,4,Rs1010950
Toyota,White,88015,4,Rs1139700
Toyota,White,88224,4,Rs1215200
Toyota,Green,88519,4,Rs932000
Toyota,Red,88571,4,Rs1071550
Toyota,Green,88598,4,Rs968650
Nissan,White,88908,4,Rs1107750
Honda,,89291,4,Rs685150
Toyota,Blue,89501,4,Rs610900
Toyota,Blue,89641,4,Rs1673150
,Blue,90249,4,Rs1799400
Nissan,Green,90446,4,Rs662550
Toyota,Black,90508,4,Rs1687900
Toyota,Blue,90856,4,Rs1653850
Toyota,Blue,92777,4,Rs1625450
Honda,White,92883,4,Rs746550
Toyota,Black,93054,4,Rs332600
Toyota,White,93593,4,Rs1481900
BMW,Blue,93792,3,Rs1763200
Honda,Green,94062,4,Rs1352850
Toyota,Blue,94916,4,
Honda,Black,94941,4,Rs1379900
Honda,Red,95243,4,Rs677950
Toyota,Blue,95317,4,Rs371750
Honda,White,95481,4,Rs434350
Honda,White,95579,4,Rs556750
Toyota,White,95725,4,Rs626150
Toyota,Blue,95993,4,Rs1403650
BMW,White,96224,,Rs2286000
Honda,Blue,96308,4,Rs750500
,Blue,96363,4,Rs373450
Honda,Blue,96389,4,Rs393050
Toyota,Red,96742,4,Rs1723250
Nissan,Blue,96785,4,Rs1147450
Toyota,White,97036,4,
Toyota,Black,97042,4,Rs410150
,Red,97345,4,Rs348100
Toyota,,97375,4,Rs573950
Toyota,Black,98409,4,Rs1643150
Honda,Red,98523,4,Rs1497950
Toyota,Blue,98619,4,Rs1666200
Toyota,Red,98854,4,Rs1493800
Toyota,Blue,98890,4,Rs1346300
Toyota,Blue,98971,4,Rs811300
Toyota,Blue,99761,4,Rs527350
BMW,Red,100060,5,Rs1903000
Toyota,White,100107,4,Rs493900
Honda,White,100527,4,Rs1130800
Toyota,White,100657,4,
Honda,White,100884,4,Rs257250
Toyota,White,100938,4,Rs1259800
Honda,White,101311,4,Rs271050
Honda,Red,101835,4,Rs805500
Honda,,102032,4,Rs951800
Nissan,White,102303,4,Rs845450
BMW,White,102773,5,Rs1477550
Toyota,Blue,103202,4,Rs669700
BMW,Blue,103283,3,Rs1108800
Toyota,Black,103472,,Rs759200
Toyota,,103682,4,Rs513050
,White,103728,4,Rs353050
Toyota,Blue,103909,4,Rs228300
Honda,Blue,104304,4,Rs1150850
Nissan,Blue,104355,4,Rs902900
Toyota,White,104722,4,Rs1050300
Toyota,Green,106475,4,Rs1212100
Honda,Blue,106494,4,Rs892900
Honda,Blue,106744,4,Rs811150
Toyota,White,107043,4,Rs356300
Nissan,White,107096,3,Rs303750
Nissan,Green,107112,3,Rs817250
Toyota,White,107410,4,Rs1249500
Toyota,Red,107799,4,Rs670850
Honda,White,108206,4,Rs660400
Honda,,108415,4,Rs1046800
Toyota,White,108569,,Rs343300
Honda,Red,108681,4,Rs537000
Honda,Red,108794,4,Rs798100
Toyota,White,109013,4,Rs531400
,White,109384,4,Rs495900
Toyota,Green,109868,4,Rs328700
Toyota,Green,110078,4,Rs682500
Toyota,White,110362,4,Rs678000
Nissan,Blue,111015,3,Rs362600
Honda,Black,111097,4,Rs803600
Nissan,Blue,111256,4,Rs545950
Honda,Red,111727,4,Rs505050
Toyota,White,112004,4,Rs679300
Toyota,White,112103,4,Rs394900
BMW,Green,112156,5,Rs645200
Toyota,Blue,112223,4,Rs237650
Toyota,White,112292,4,Rs1241700
Toyota,Black,112622,4,Rs788900
Toyota,White,112968,4,Rs948100
,White,113250,4,Rs483750
Nissan,Red,113278,3,Rs783300
Honda,Red,113538,4,
Honda,White,113704,4,Rs1164000
Nissan,Red,113987,4,Rs248400
Toyota,,114202,4,Rs1125250
Nissan,White,114699,4,Rs800800
Honda,White,115183,4,Rs324050
Nissan,White,116279,4,Rs808950
BMW,Green,117440,5,Rs866100
Toyota,White,117504,4,Rs1293700
Toyota,White,117571,4,Rs1185950
Toyota,White,117637,4,Rs862800
Honda,White,117907,4,Rs845400
BMW,White,118286,5,Rs707250
Toyota,Blue,118308,4,Rs1011850
Nissan,White,118470,3,Rs1003750
Honda,,118609,4,Rs273250
Toyota,,118706,4,Rs1035250
Honda,Black,119033,4,Rs838700
Toyota,Blue,119311,4,Rs1340800
Toyota,Green,119394,4,Rs588650
Toyota,White,119439,4,Rs867000
Toyota,Blue,119745,4,Rs1195100
Honda,White,120283,4,Rs968800
Honda,Red,120306,4,Rs917300
Honda,Blue,120448,4,Rs619600
Toyota,Black,121160,4,Rs419000
Honda,White,121416,,Rs884500
Honda,White,121791,4,Rs346000
Toyota,White,122266,4,Rs883200
Toyota,White,122453,4,Rs1208900
Nissan,White,123121,4,Rs1121800
Honda,Red,123224,4,Rs824400
Honda,White,123898,4,Rs1031100
Nissan,White,123923,4,Rs749300
Honda,Black,123924,4,Rs1061800
Toyota,White,124057,4,Rs945950
Nissan,Red,124112,4,Rs360850
Nissan,Blue,124116,,Rs269300
Toyota,White,124205,4,Rs345850
Toyota,,124844,4,Rs1206500
Honda,White,124924,4,Rs991600
Nissan,Black,125251,4,Rs915300
Honda,Green,125802,4,Rs237700
Honda,Blue,125819,4,Rs784300
Toyota,Blue,125939,4,Rs517450
Toyota,Blue,126078,4,Rs722100
BMW,,126441,5,Rs1986900
,White,126669,4,Rs924200
Honda,White,126854,4,Rs615550
Honda,Blue,127157,4,Rs384100
Toyota,White,127161,4,Rs243550
Nissan,White,127386,4,Rs423050
Honda,Blue,127589,4,Rs780500
Toyota,Blue,128016,4,Rs841750
,White,128072,4,Rs909000
Nissan,Red,128235,4,Rs416350
Toyota,White,128294,4,Rs680400
BMW,Blue,129040,5,Rs1617650
Nissan,White,129188,4,Rs403550
Toyota,White,129188,4,Rs880450
Toyota,White,129454,4,Rs322300
Nissan,Blue,129769,3,Rs780850
Nissan,,129820,,Rs348000
Nissan,White,129883,4,Rs1197250
Honda,Green,130075,4,Rs1062100
Honda,Green,130076,4,Rs338100
Honda,White,130494,4,Rs275650
,White,130538,4,Rs468700
Honda,White,130783,4,Rs314150
BMW,Blue,130817,3,Rs1569600
BMW,Red,131587,5,Rs782600
Toyota,White,132055,4,Rs529100
Toyota,Black,132103,,Rs521950
Toyota,Green,132714,4,Rs853800
,White,133069,3,Rs250400
Honda,Blue,133117,,Rs517200
Toyota,Red,133195,4,Rs739750
Honda,,133270,4,Rs1080600
Toyota,Black,133433,4,Rs825950
Nissan,White,133441,4,Rs1096050
BMW,Blue,134103,5,Rs1805450
,White,134181,4,Rs556050
Toyota,White,134415,,Rs256250
Honda,Black,134825,4,Rs865750
Toyota,White,134862,4,Rs617650
Honda,White,134949,4,Rs881100
Nissan,White,135032,3,Rs310700
Toyota,Blue,135080,4,Rs682600
Toyota,Blue,135237,4,Rs917900
Nissan,White,136022,4,
Toyota,Black,136271,4,Rs1012100
Honda,White,136279,4,Rs296650
Honda,White,136340,4,Rs963550
