Units,Cost
1,95.1
1.2,96.5
1.2,73.7
1.2,95.6
1.3,98.8
1.3,100
1.3,94.8
1.4,67.2
1.4,72.9
1.5,62
1.5,69.3
1.6,64.6
1.6,77.7
1.6,58.4
1.7,51.4
1.7,60.9
1.7,81.9
1.7,60.6
1.8,74.1
1.8,71.6
1.8,78
1.8,57.7
1.8,53
1.8,69.2
1.8,70.4
1.8,36.1
1.8,81.5
1.8,59.6
1.8,63.4
1.9,55
1.9,58.1
1.9,52.1
1.9,61.3
2,62.6
2,61.2
2,60
2.1,47.9
2.1,54.9
2.1,54.2
2.1,60.2
2.1,44.7
2.1,45.6
2.1,57.8
2.2,52
2.2,54.1
2.2,73.8
2.2,56.5
2.2,61.1
2.2,68
2.3,47.3
2.3,48.8
2.3,75.5
2.3,64
2.3,51.4
2.3,65.3
2.3,54
2.3,60.7
2.4,42.1
2.4,40.5
2.4,66.7
2.4,57.8
2.4,84.2
2.4,52.1
2.5,59.1
2.5,71.4
2.5,44.4
2.5,46.4
2.5,61.9
2.5,53.9
2.5,50.4
2.6,39.7
2.6,55.1
2.6,53.4
2.6,69.3
2.6,52.8
2.6,52.3
2.6,55.6
2.6,46.5
2.6,53.4
2.6,51.9
2.6,47.5
2.6,52.9
2.7,48.6
2.7,49
2.7,50.4
2.7,48.3
2.7,46.9
2.7,53.2
2.7,54.4
2.7,61.2
2.7,35
2.7,52.3
2.7,54.3
2.8,46.8
2.8,55.6
2.8,48.3
2.8,50.2
2.8,63.5
2.8,58.2
2.8,52.8
2.8,51.5
2.8,39.6
2.8,57.5
2.8,45.2
2.8,62.6
2.8,38.8
2.8,48.7
2.8,51.5
2.9,63.5
2.9,57.9
2.9,47
2.9,57.3
2.9,50.8
2.9,45.3
2.9,55.2
2.9,56.2
2.9,51.2
2.9,52.7
2.9,51.2
2.9,48.1
2.9,51.8
2.9,49.8
2.9,38.8
2.9,34.4
3,54.2
3,60.9
3,45.3
3,52.6
3,42.4
3,43.5
3,58.6
3,53.4
3,60.3
3,40.4
3,50.3
3,44.1
3,54.5
3.1,49.4
3.1,49.1
3.1,42.5
3.1,59.2
3.1,50.1
3.1,40.9
3.1,46.3
3.1,37.1
3.1,46.1
3.1,55.6
3.1,57.9
3.1,46.5
3.1,42.5
3.1,42.2
3.1,41.5
3.1,40.6
3.1,46.5
3.1,35.1
3.1,43.3
3.1,45.6
3.1,46.6
3.1,43.4
3.1,48.9
3.1,60.1
3.1,56.2
3.1,46.8
3.1,61.2
3.2,46
3.2,49.2
3.2,60.6
3.2,50.6
3.2,43.9
3.2,34.3
3.2,45.5
3.2,39.4
3.2,38.2
3.2,41.6
3.2,48.2
3.2,38
3.2,36.3
3.2,45.6
3.2,38.2
3.2,41.4
3.2,39.1
3.2,55.8
3.2,51.3
3.2,38.3
3.3,54.7
3.3,48.2
3.3,45.4
3.3,45.2
3.3,49
3.3,30.1
3.3,44.9
3.3,48.6
3.3,42.1
3.3,42.2
3.3,51.1
3.3,43.4
3.3,38.5
3.3,62.6
3.3,40.3
3.3,25.5
3.3,37.4
3.3,50.7
3.3,47.6
3.3,51.9
3.3,41.3
3.4,52.9
3.4,45.6
3.4,41.5
3.4,53.9
3.4,57.9
3.4,43.7
3.4,38.8
3.4,41.1
3.4,46.5
3.4,41.3
3.4,34.9
3.4,53.4
3.4,49.4
3.4,48.2
3.4,22.8
3.4,47.4
3.4,51.8
3.4,42.9
3.4,41.8
3.4,48.4
3.4,52.5
3.4,49.2
3.4,36.1
3.4,46.1
3.4,47.7
3.4,46.3
3.5,39.2
3.5,41.1
3.5,48.4
3.5,45.1
3.5,46.1
3.5,38.9
3.5,32.8
3.5,43.1
3.5,44.9
3.5,48.4
3.5,48.4
3.6,38.1
3.6,31
3.6,48.4
3.6,48.8
3.6,43.4
3.6,44.9
3.6,44.5
3.6,39.3
3.6,39.8
3.6,29.1
3.6,52.4
3.6,36.5
3.6,42
3.6,47.3
3.6,45.3
3.6,44.3
3.6,47.9
3.6,36.7
3.6,42.3
3.6,40.4
3.7,36
3.7,37
3.7,33.9
3.7,55.6
3.7,37.5
3.7,40.9
3.7,33.7
3.7,37.6
3.7,43.6
3.7,47.6
3.7,42.9
3.7,32.9
3.7,53.7
3.7,30.9
3.7,49.7
3.7,38.3
3.7,46.6
3.7,49.4
3.7,37.3
3.7,39.5
3.7,41.5
3.7,41.8
3.7,45.8
3.7,35.6
3.7,40.8
3.7,38
3.7,43
3.7,45.5
3.7,37
3.8,31.7
3.8,46.3
3.8,38.3
3.8,47.8
3.8,51.6
3.8,39.7
3.8,42.3
3.8,44.8
3.8,48.5
3.8,54.9
3.8,54.9
3.8,37.6
3.8,37.9
3.8,45.9
3.8,39.3
3.8,36.5
3.8,46.5
3.8,37.7
3.8,38
3.8,39
3.8,45.2
3.8,40.3
3.8,32.2
3.8,43.4
3.9,39.1
3.9,41.1
3.9,41.9
3.9,32.2
3.9,45.1
3.9,34.3
3.9,43.1
3.9,41.5
3.9,43
3.9,37.6
3.9,40.5
3.9,44.5
3.9,45.5
3.9,44.9
3.9,42.8
3.9,43.1
3.9,37
3.9,35.3
3.9,43.6
3.9,31.2
3.9,36.9
3.9,45.1
3.9,28
3.9,39.7
3.9,46.3
3.9,31.6
3.9,43.4
4,45
4,42.9
4,39.9
4,44.6
4,41.8
4,36.5
4,41.9
4,41.8
4,38.8
4,39.2
4,39.4
4,39.6
4,41.5
4,23.3
4,54.6
4,36.6
4,45.2
4,47.4
4,41
4,32.5
4,39.5
4,39
4,31
4,37.9
4,38.5
4,45.2
4.1,39.6
4.1,48.3
4.1,33.4
4.1,35.7
4.1,37.8
4.1,34.3
4.1,36.1
4.1,41
4.1,39
4.1,44.4
4.1,38.3
4.1,45
4.1,34.8
4.1,37.7
4.1,36.4
4.1,45.7
4.1,41.6
4.1,43.3
4.1,43
4.1,36.2
4.1,33.7
4.1,48.4
4.1,27.5
4.1,36.6
4.1,30
4.1,45.3
4.1,57
4.1,36.6
4.1,36.4
4.1,50.1
4.1,39.5
4.1,37.5
4.1,43.2
4.1,40
4.1,44
4.1,35
4.2,43.8
4.2,41.2
4.2,32.5
4.2,46.4
4.2,36
4.2,44.1
4.2,41.2
4.2,43.1
4.2,51.6
4.2,43
4.2,48.1
4.2,35
4.2,43.8
4.2,28
4.2,29.3
4.2,29.1
4.2,41.7
4.2,38.2
4.2,50.8
4.2,44.1
4.2,34
4.2,46.3
4.2,50.9
4.2,43
4.2,44.2
4.2,45.7
4.2,37.7
4.2,44.2
4.2,42.1
4.2,41
4.2,41.4
4.2,44.8
4.2,45.3
4.2,39.9
4.2,41.1
4.2,31.2
4.3,31.1
4.3,40.1
4.3,30.3
4.3,38.7
4.3,31.6
4.3,44.1
4.3,36.4
4.3,38.8
4.3,33.5
4.3,28.9
4.3,38.8
4.3,38.2
4.3,46.5
4.3,41.1
4.3,40.6
4.3,43.2
4.3,44
4.3,34.9
4.3,38.9
4.3,42.2
4.3,41.2
4.3,41.5
4.3,41.3
4.3,40.1
4.3,44
4.3,37.1
4.3,41.3
4.3,41.1
4.3,36
4.3,41
4.3,38.1
4.3,29.8
4.3,40.2
4.3,36.7
4.3,40.3
4.3,41.3
4.3,40.2
4.3,36
4.3,30.5
4.4,40.6
4.4,39.9
4.4,42.5
4.4,42.1
4.4,35.9
4.4,40.2
4.4,38.3
4.4,42
4.4,37.6
4.4,41.9
4.4,40.1
4.4,36.1
4.4,50
4.4,41.2
4.4,39.5
4.4,47.2
4.4,29.8
4.4,26.7
4.4,29.8
4.4,46.4
4.4,37.1
4.4,35.1
4.4,37.8
4.4,30.2
4.4,38.9
4.4,35.9
4.5,38.9
4.5,35
4.5,39.9
4.5,37.3
4.5,40.4
4.5,38
4.5,34.7
4.5,31.2
4.5,41.8
4.5,30.3
4.5,45.3
4.5,39.4
4.5,43.6
4.5,49.3
4.5,39
4.5,33.8
4.5,38.6
4.5,35.2
4.5,38.2
4.5,43.4
4.5,29.9
4.5,42.5
4.5,42.3
4.5,40.5
4.5,36.8
4.5,35.5
4.5,29.3
4.5,44.9
4.5,41.7
4.5,46.4
4.5,43.8
4.5,38.6
4.5,35.2
4.6,31.6
4.6,30
4.6,30.5
4.6,29.9
4.6,38.8
4.6,36.9
4.6,33.6
4.6,39.7
4.6,28.5
4.6,37.2
4.6,29.5
4.6,45.4
4.6,37.6
4.6,42.2
4.6,38.2
4.6,40.3
4.6,29.3
4.6,39.2
4.6,29.6
4.6,48
4.6,41.9
4.6,37.4
4.6,35.3
4.6,39.8
4.6,40
4.6,41.7
4.6,35.8
4.6,38.4
4.6,33.3
4.6,36.6
4.7,33.1
4.7,37.4
4.7,39.5
4.7,42.3
4.7,47.1
4.7,40.3
4.7,32.9
4.7,48.5
4.7,35.1
4.7,37
4.7,41.3
4.7,40.8
4.7,38
4.7,36.8
4.7,41.1
4.7,33.1
4.7,29.4
4.7,36.5
4.7,35.4
4.7,36.8
4.7,44.2
4.7,40.4
4.7,32.6
4.7,42.1
4.7,32.9
4.8,35.8
4.8,28.5
4.8,39
4.8,39.1
4.8,33.9
4.8,42.6
4.8,39.5
4.8,43.5
4.8,42.5
4.8,40.3
4.8,40.5
4.8,37.4
4.8,40.2
4.8,36.1
4.8,39.2
4.8,38.3
4.9,32.2
4.9,33
4.9,31.1
4.9,36.1
4.9,38.8
4.9,40.6
4.9,40.1
4.9,39.5
4.9,33.8
4.9,32.3
4.9,39.2
4.9,20.8
4.9,31.6
4.9,38.8
4.9,40.4
4.9,39.7
4.9,46.1
4.9,39.2
4.9,40.2
4.9,47.3
4.9,39.9
4.9,29.2
4.9,33.8
4.9,36.8
4.9,33.7
5,33.2
5,42
5,39.8
5,37.2
5,26.9
5,37.5
5,29.9
5,33.6
5,32.3
5,42.6
5,38.7
5,30.2
5,43.1
5,33.9
5,33.9
5,36.4
5,32.8
5,29.6
5,40.5
5,30.5
5,29.9
5,35.7
5,39.1
5,37.7
5,41.9
5,30.1
5,35
5,39.6
5,32.9
5,43.8
5,44.4
5,32.6
5,31.1
5,33.2
5,44.4
5,41.3
5,38.1
5.1,35.4
5.1,38.5
5.1,42.4
5.1,32.7
5.1,37.5
5.1,39.4
5.1,41.2
5.1,29.1
5.1,32.1
5.1,38.1
5.1,34.6
5.1,38.6
5.1,31.1
5.1,37
5.1,26.5
5.1,31.8
5.1,36.3
5.1,35.9
5.1,45.7
5.1,35.6
5.1,25.2
5.1,39
5.1,30.4
5.1,33.4
5.1,41.6
5.1,38.8
5.1,39.8
5.1,30.9
5.1,36.4
5.1,38.8
5.1,26.5
5.2,35.1
5.2,33.7
5.2,30.6
5.2,28.8
5.2,35.2
5.2,32
5.2,40.8
5.2,35.2
5.2,31.8
5.2,36.2
5.2,28.3
5.2,25.9
5.2,34
5.2,33.2
5.2,39.9
5.2,35.6
5.2,35.9
5.2,31.3
5.2,33.4
5.2,36.4
5.2,33.3
5.2,30.9
5.2,34
5.3,32
5.3,34.3
5.3,40.4
5.3,35.8
5.3,35.9
5.3,28.2
5.3,35.2
5.3,32.1
5.3,33.6
5.3,32.2
5.3,28.9
5.3,39
5.3,33.2
5.3,33.9
5.3,37.3
5.3,34.6
5.3,35.1
5.3,30.1
5.3,39.8
5.3,35
5.3,30
5.3,33.6
5.3,39.8
5.3,32
5.3,37.2
5.3,31
5.3,33.3
5.3,39.8
5.3,38.9
5.3,30.4
5.3,36.1
5.3,26.2
5.3,35.8
5.4,33.1
5.4,31
5.4,32.3
5.4,41.1
5.4,35.2
5.4,38.1
5.4,31.2
5.4,32.9
5.4,33.7
5.4,29.2
5.4,37.3
5.4,35.5
5.4,23.7
5.4,39
5.4,32.3
5.4,30.7
5.5,33
5.5,37.7
5.5,32.6
5.5,35.3
5.5,31.1
5.5,23.1
5.5,34.2
5.5,40.4
5.5,30
5.5,33.6
5.5,23.1
5.5,32.1
5.5,39.8
5.5,31.7
5.5,33.3
5.5,35
5.5,34.1
5.5,34.8
5.5,31.9
5.5,32.7
5.5,29.6
5.5,33.4
5.5,29.2
5.5,35.2
5.5,25.1
5.5,35.8
5.5,32.4
5.5,34.1
5.6,30.4
5.6,35.3
5.6,42.9
5.6,31
5.6,34.2
5.6,30.1
5.6,32
5.6,38.3
5.6,34.8
5.6,31.9
5.6,29.7
5.6,35.1
5.6,31.7
5.6,32.7
5.6,32.4
5.6,30.9
5.6,32.1
5.6,30.7
5.6,26.1
5.6,40.8
5.6,35.1
5.6,33.8
5.6,29.5
5.6,37.2
5.6,22.4
5.6,30.2
5.6,26.6
5.7,38.1
5.7,37.7
5.7,32.7
5.7,30.8
5.7,31.2
5.7,36.7
5.7,36.5
5.7,33.6
5.7,35.1
5.7,31.1
5.7,29.8
5.7,34
5.7,40.4
5.7,31.4
5.7,41
5.7,33.3
5.7,29.3
5.7,29.6
5.7,33.9
5.8,37.9
5.8,38.5
5.8,28.9
5.8,28.3
5.8,32.1
5.8,29.7
5.8,35.3
5.8,29.3
5.8,31.6
5.8,36
5.8,36.8
5.9,36.3
5.9,37.9
5.9,25.3
5.9,30.2
5.9,31.5
5.9,31.8
5.9,28.8
5.9,34.4
5.9,33.3
5.9,37.9
5.9,32.2
5.9,32.8
5.9,29.3
5.9,33.7
5.9,34.5
5.9,30.8
5.9,24.7
6,30
6,30.2
6,37.4
6,34.8
6,30.3
6,29.6
6,32.1
6,34.5
6,33.6
6,29.1
6,36.1
6,37.3
6,30.8
6,32.2
6.1,30
6.1,34.7
6.1,34.2
6.1,29.3
6.1,27.6
6.1,38.4
6.1,33.4
6.1,31.7
6.1,35.6
6.1,31.4
6.1,32.8
6.1,29.8
6.1,29.3
6.2,23.7
6.2,24.8
6.2,37.8
6.2,33.4
6.2,34.5
6.2,28.6
6.2,32.4
6.2,32
6.2,32.9
6.2,25.3
6.3,30.8
6.3,36.1
6.3,24.7
6.3,32.5
6.3,24.2
6.3,32.3
6.4,36.2
6.4,29.9
6.4,29.1
6.4,30.9
6.4,26.5
6.4,31.7
6.4,27.6
6.4,34.2
6.4,30.2
6.4,24.8
6.4,41.3
6.5,36.2
6.5,30.2
6.5,33.2
6.5,32
6.5,32.4
6.5,25.4
6.6,31.8
6.6,24.1
6.6,25.9
6.6,27.5
6.6,22.2
6.6,23.1
6.6,33.1
6.6,32.7
6.6,38.3
6.7,29
6.7,34.4
6.7,32.6
6.7,31.4
6.7,36.9
6.7,31.5
6.8,36
6.8,32.8
6.8,30.8
6.8,24.7
6.9,28.8
6.9,33.3
6.9,27.9
6.9,29.1
6.9,28.3
6.9,28.8
6.9,23.5
6.9,27.5
7,35.9
7,31.8
7,29.5
7,28.3
7.1,25
7.1,27.8
7.1,32.4
7.1,35.3
7.1,36.1
7.1,33.1
7.2,25.3
7.2,31.2
7.2,30
7.2,29.3
7.3,31.2
7.3,27.2
7.4,29.2
7.4,28.6
7.5,24.8
7.5,25.2
7.6,30.8
7.6,27.7
7.6,30.3
7.6,29.9
7.6,30.5
7.7,31.9
7.8,20
7.9,27.6
7.9,24.7
8,24
8,22.3
8.1,26.6
8.1,23.9
8.7,27.5
8.8,26
8.9,25.1
10,21.5
