Model,Company,Color,Type,Average Rating,Number of Ratings,Selling Price,Maximum Retail Price,Discount
5PLUS 5PHP28 Wired without Mic Headset,5PLUS,Red, On the Ear,3.6,101,496,3399,2903
A R Wireless compatible with Headset Bluetooth SPORT ME...,A R,Red, Multicolor,3.9,35280,188,799,611
Aerizo Wireless Touch R100 Earbuds (Black) Bluetooth He...,Aerizo,Black, True Wireless,4,1934,589,1298,709
Allmusic powerful driven bass with dynamic beats powere...,Allmusic,Multicolor, In the Ear,4,15841,260,1599,1339
Allmusic OPP.O Ultra HD Sound Premium Bass Sports /Gym/...,Allmusic,Black, In the Ear,3.8,10766,270,999,729
"Allmusic Op.po F11 pro,A3s,F9 Pro,K1,A5,A7,F9,F7,A5s,F5...",Allmusic,Black, In the Ear,3.7,85,199,749,550
Aloof A31 Bluetooth Headset,Aloof,Green, In the Ear,3.9,809,599,1599,1000
Aloof A31 Bluetooth Headset,Aloof,Green, In the Ear,3.9,809,599,1599,1000
ALTRONICS High Bass Universal Wired Earphone Mic For V1...,ALTRONICS,White, In the Ear,4,41082,299,599,300
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,Indigo Blue, True Wireless,3.9,4849,985,1799,814
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,Black, True Wireless,3.9,4849,987,1799,812
Ambrane BassBand Beat Bluetooth Headset,Ambrane,Grey, In the Ear,4.2,120,759,2999,2240
Ambrane BassBand Lite Bluetooth Headset,Ambrane,Black, In the Ear,3.9,73755,788,1399,611
Ambrane BassBand Lite Bluetooth Headset,Ambrane,Black, In the Ear,3.8,679,788,1299,511
Ambrane BassBand Beat Bluetooth Headset,Ambrane,Black, In the Ear,3.8,1316,759,1499,740
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,White, True Wireless,3.4,20,999,990,-9
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,Pink, True Wireless,4,389,949,1799,850
AMJ Wireless Magnet Bluetooth EarphoneSports for Runnin...,AMJ,Black, In the Ear,4,3,139,349,210
"AMJ Audio Headsets with 10mm Drivers, Sports Bluetooth ...",AMJ,Black, In the Ear,4.4,23,369,799,430
AMJ HBS_730Bluetooth Bluetooth Headset,AMJ,Black, In the Ear,3.5,140,220,699,479
AMJ Sports 9-R1 Wireless Bluetooth Bluetooth Headset,AMJ,Yellow, In the Ear,4.4,20395,238,899,661
AMJ Sports 9-R1 Wireless Bluetooth Bluetooth Headset,AMJ,Yellow, In the Ear,3.9,10398,238,899,661
APPLE MNHF2ZM/A Wired Headset,APPLE,White, In the Ear,4.1,11138,1900,4495,2595
ARHUB A1 bluetooth o for Viv_o/Hono_r/Sam_sung/IOS/Op_p...,ARHUB,Black, True Wireless,5,0,225,599,374
ARHUB A1 bluetooth o for Viv_o/Hono_r/Sam_sung/IOS/Op_p...,ARHUB,Black, True Wireless,3,0,225,599,374
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4,29426,459,1499,1040
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,4.2,58523,699,2499,1800
Aroma NB119C Carter - 36 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.7,92346,449,1999,1550
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Aroma,Blue, In the Ear,3.8,631,649,2499,1850
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,3.4,183,379,1999,1620
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4.1,14148,649,2499,1850
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4.2,1299042,533,2499,1966
Aroma NB119D Dream - 48 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4.1,166582,599,1999,1400
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,4,21398,699,2499,1800
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4,9619,379,1999,1620
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4,2834,533,2499,1966
Aroma NB119 Pro Belief- 30 Hours Playtime Bluetooth Nec...,Aroma,Black, In the Ear,4,41625,439,1499,1060
Aroma NB119 Rock - 40 Hours Playtime Bluetooth Neckband...,Aroma,Black, In the Ear,4,2909,669,2999,2330
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB136A Rifle Gaming Earbuds Bluetooth Gaming Head...,Aroma,Black, True Wireless,4,30895,854,2499,1645
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,134,533,2499,1966
Aroma NB119 Champion - 50 Hours Playtime Bluetooth Neck...,Aroma,Blue, In the Ear,4,0,649,2999,2350
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4,2834,533,599,66
Aroma NB119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.4,39770,649,2999,2350
Aroma NB119 Metal - 40 Hours Playtime Bluetooth Neckban...,Aroma,Black, In the Ear,4,206,465,2499,2034
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,4.1,866,649,2499,1850
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.8,3440,533,2499,1966
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4.3,114661,379,1999,1620
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,5,0,699,2499,1800
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,8086,533,2499,1966
Aroma NB119 Champion - 50 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4.1,1089,649,2999,2350
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.5,573,699,2499,1800
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Bullet - 40 Hours Playtime Bluetooth Neckba...,Aroma,Red, Black,3.8,825,528,2499,1971
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,18513,533,2499,1966
Aroma NB119 Champion - 50 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4.1,1089,649,2999,2350
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Platinum - 48 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4,2684,649,2499,1850
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,302,533,2499,1966
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.5,24696,699,2499,1800
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.7,18513,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.8,302,533,2499,1966
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.5,1037,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.3,1842,533,2499,1966
Aroma NB136A Rifle Gaming Earbuds Bluetooth Gaming Head...,Aroma,Yellow, True Wireless,3.7,1163,799,1999,1200
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,4,6102,379,2990,2611
Aroma NB119 Bullet - 40 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4,333036,528,3499,2971
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.9,55,533,999,466
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,3.9,221939,379,1599,1220
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.7,0,699,0,-699
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Bullet - 40 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,3.8,825,528,3800,3272
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.6,72,533,999,466
Aroma NB120 Pro Bigtime - 60 Hours Playtime Bluetooth N...,Aroma,Red, Black,3.6,947,598,3499,2901
Aroma NB119 Freedom - 72 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.8,27,749,2999,2250
Aroma NB119 Rock - 40 Hours Playtime Bluetooth Neckband...,Aroma,Orange, In the Ear,4,2909,669,2999,2330
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,2499,2120
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.9,191,533,2499,1966
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,4.2,5,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.9,35280,533,2499,1966
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4.2,10,533,2499,1966
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.5,0,699,2499,1800
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.5,2169,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.5,1169,533,2499,1966
Aroma NB134C Gun Gaming Earbuds Bluetooth Gaming Headse...,Aroma,Black, True Wireless,3.3,18,949,2999,2050
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.7,670,379,1999,1620
Aroma NB120 Pro Bigtime - 60 Hours Playtime Bluetooth N...,Aroma,Silver, Black,3.7,6415,598,3499,2901
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.4,34,533,2499,1966
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.3,4027,699,2499,1800
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,4.3,14,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.6,1904,533,2499,1966
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.7,0,699,1999,1300
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB134C Gun Gaming Earbuds Bluetooth Gaming Headse...,Aroma,Black, True Wireless,3.3,18,949,2999,2050
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4.4,8,533,2499,1966
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,1,0,699,2499,1800
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.8,34,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.6,802,533,2499,1966
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.8,0,699,2499,1800
"ASWORLD EARPHONES Wired, Bluetooth Headset",ASWORLD,White, In the Ear,4,29660,499,999,500
Attrrix Wireless Earphones Bluetooth 5.0 Bluetooth Head...,Attrrix,Black, True Wireless,3.8,25,699,2499,1800
"AUDONIC Earphones with mic for A3s,A5s,A7,A37,A57,A71,A...",AUDONIC,White, In the Ear,3.6,1238,268,899,631
Avlokan Air Tune (Buds) True Wireless Bluetooth Headset...,Avlokan,Black, True Wireless,4,93468,426,1299,873
Avlokan Air Tune (Buds) True Wireless Bluetooth Headset...,Avlokan,Assorted, True Wireless,3.5,557,426,1299,873
AXYRO SN-K1 356 Bluetooth Headset,AXYRO,Black, In the Ear,3.8,999,152,999,847
AXYRO AR-7-SINGLE-WHITE-210 Bluetooth Headset,AXYRO,White, Steel,3.9,221939,167,999,832
AXYRO AR-7-SINGLE-WHITE-210 Bluetooth Headset,AXYRO,White, Steel,3.3,716,167,399,232
"AXYRO Low Price ,HBS-730 sports Wireless Bluetooth Head...",AXYRO,Multicolor, On the Ear,3.8,665,303,999,696
Benco Air1 TWS Gaming Earbuds with 12mm driver 60ms Lat...,Benco,Black, True Wireless,3.9,10398,999,3599,2600
Bhanu i7S Twins Earbuds Headphone with Charging box Min...,Bhanu,White, True Wireless,4,63970,449,1499,1050
Bhanu 100% Party Sound Powerfull Dynamic Drivers for Ef...,Bhanu,Black, In the Ear,3.6,148,299,1899,1600
Bhanu Hurry Best Deal High Level Party Sound &Bass in B...,Bhanu,Blue, In the Ear,1,0,299,1699,1400
Blaupunkt EM01 Wired Headset,Blaupunkt,Black, In the Ear,4.2,33645,349,5499,5150
Blaupunkt BTW25F GR Bluetooth Headset,Blaupunkt,Green, True Wireless,3.9,10398,1999,2999,1000
blue seed BBD-S19 Wireless Earbuds 5.0 Headsets Dual Ea...,blue,Black, True Wireless,3.6,45,662,1599,937
blue seed BBD-S19 Wireless Earbuds 5.0 Headsets Dual Ea...,blue,Black, True Wireless,3.6,45,662,299,-363
blue seed BBD-S19 9d holographic Sound Bluetooth Headse...,blue,Multicolor, True Wireless,3.2,52,662,1299,637
BLYTHE KAJU Bluetooth Mini Earphone Bluetooth Headset,BLYTHE,Black, True Wireless,3.7,1163,179,999,820
boAt Bassheads 103 Black Wired Headset,boAt,Black, In the Ear,4.2,1299042,349,1290,941
boAt Rockerz 235v2 with ASAP charging Version 5.0 Bluet...,boAt,Black, In the Ear,3.4,48161,999,2990,1991
boAt Airdopes 131 Bluetooth Headset,boAt,Active Black, True Wireless,4.2,1299042,1099,2990,1891
boAt Rockerz 235v2 with ASAP charging Version 5.0 Bluet...,boAt,Blue, In the Ear,4.3,437395,999,2990,1991
boAt Airdopes 131 Bluetooth Headset,boAt,Midnight Blue, True Wireless,3.4,12140,1099,2990,1891
boAt Rockerz 255F Bluetooth Headset,boAt,Active Black, In the Ear,4.3,90,1099,2990,1891
boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,boAt,Active Black, In the Ear,4.1,56420,1499,3990,2491
boAt Bassheads 100 Wired Headset,boAt,Black, In the Ear,4.3,535144,399,999,600
boAt Rockerz 255F Pro with ASAP Charge and upto 10 Hour...,boAt,Active Black, In the Ear,3.9,18893,1149,3499,2350
boAt Airdopes 131 Bluetooth Headset,boAt,Cherry Blossom, True Wireless,4,625672,1099,2990,1891
boAt Rockerz 255F Pro+ Bluetooth Headset,boAt,Active Black, In the Ear,4.2,219374,1169,3990,2821
boAt Rockerz 235v2 with ASAP charging Version 5.0 Bluet...,boAt,Red, In the Ear,4.1,5803,999,2990,1991
boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,boAt,Navy Blue, In the Ear,4,93468,1499,3990,2491
boAt BassHeads 220 Wired Headset,boAt,Red, In the Ear,4.2,824592,404,999,595
boAt Rockerz 333 Pro with 60 Hours Battery Bluetooth He...,boAt,Navy Blue, In the Ear,4.3,1752,1799,2990,1191
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,boAt,Luscious Black, On the Ear,4.3,291076,1299,3990,2691
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,boAt,Hazel Beige, On the Ear,4.3,291076,1299,3990,2691
boAt BassHeads 100 Wired Headset,boAt,Furious Red, In the Ear,4.3,1049774,399,999,600
boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,boAt,Navy Blue, In the Ear,4.2,229212,1149,3499,2350
boAt BassHeads 220 Super Extra Bass Wired Headset,boAt,Neon Lime, In the Ear,4.2,824592,399,999,600
boAt Rockerz 235v2 Bluetooth Headset,boAt,Black, In the Ear,4.2,1299042,999,2990,1991
boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,boAt,Blazing Yellow, In the Ear,4.2,229212,1149,3249,2100
boAt BassHeads 100 Wired Headset,boAt,Taffy Pink, In the Ear,4.3,1049774,399,999,600
boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,boAt,Raging Red, In the Ear,3.8,60,1149,3499,2350
boAt BassHeads 172 Wired Headset,boAt,Jazzy Blue, In the Ear,4,25305,499,1299,800
boAt BassHeads 100 Wired Headset,boAt,White, In the Ear,3.7,6288,399,839,440
boAt Airdopes 402 Bluetooth Headset,boAt,Bold Blue, True Wireless,3.9,202799,1599,5990,4391
boAt Bassheads 242 Wired Headset,boAt,Blue, In the Ear,4.3,405112,549,1490,941
boAt Rockerz 510 Super Extra Bass Bluetooth Headset,boAt,Furious blue, On the Ear,4.4,151981,1399,3490,2091
boAt Rockerz 255F Pro/ Rockerz 255 Pro Bluetooth Headse...,boAt,Active Black Indi, In the Ear,3.9,239,1149,3499,2350
boAt BassHeads 900 Super Extra Bass Wired Headset,boAt,Pearl White, On the Ear,4.4,238169,699,2499,1800
boAt Bassheads 104 Wired Headset,boAt,White, In the Ear,4.3,291076,399,3990,3591
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,boAt,Aqua Blue, On the Ear,3,6,1499,4999,3500
boAt BassHeads 172 Wired Headset,boAt,Raging Red, In the Ear,5,0,499,999,500
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,boAt,Aqua Blue, On the Ear,4.3,291076,1499,3990,2491
boAt Bassheads 104 Wired Headset,boAt,White, In the Ear,4.2,25388,399,999,600
boAt BassHeads 172 Wired Headset,boAt,Raging Red, In the Ear,3.9,35280,499,1299,800
boAt Airdopes 431 Bluetooth Headset,boAt,Sporty Blue, In the Ear,3.9,10274,1999,5999,4000
boAt Rockerz 400 Bluetooth Headset,boAt,Red, Black,4.3,310831,1299,2990,1691
boAt BassHeads 182 Wired Headset,boAt,Jazzy Blue, In the Ear,4.3,114916,499,1299,800
boAt Bassheads 100 Wired Headset,boAt,Mint Orange, In the Ear,4.3,1049774,399,999,600
boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,Mint Purple, True Wireless,3.9,221939,1799,4990,3191
boAt BassHeads 182 Wired Headset,boAt,Raging Red, In the Ear,4.3,36720,499,1296,797
boAt Rockerz 370 Bluetooth Headset,boAt,Gregarious Green, On the Ear,4.2,40041,999,2499,1500
boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,Spirit Lime, True Wireless,4.1,1712,1799,4990,3191
boAt Bassheads 242 Wired Headset,boAt,Active Black, In the Ear,3.5,24696,404,1490,1086
boAt Bassheads 100 Wired Headset,boAt,Courageous Orange, In the Ear,4.3,1049774,399,999,600
boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,Spirit Lime, True Wireless,3.9,221939,1799,4990,3191
boAt Bassheads 242 Wired Headset,boAt,Active Black, In the Ear,3.7,117,404,1490,1086
boAt Bassheads 100 Wired Headset,boAt,Courageous Orange, In the Ear,3.6,113,399,999,600
boAt Rockerz 450 Pro with Upto 70 Hours Playback Blueto...,boAt,Aqua Blue, On the Ear,4,1431,1999,3990,1991
boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,Army Green, True Wireless,3.9,13327,1799,4990,3191
boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,Mint Green, True Wireless,4,2834,1799,4990,3191
boAt Airdopes 491 True Wireless Bluetooth Headset,boAt,Spirit Lime, True Wireless,4.2,25388,2999,6990,3991
boAt Bassheads 104 Wired Headset,boAt,Admiral, In the Ear,4.1,5047,399,999,600
boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,Mint Green, True Wireless,3.9,35280,1799,3499,1700
boAt Bassheads 220 Wired Headset,boAt,Molten Orange, In the Ear,3.7,6288,549,1999,1450
boAt Rockerz 400 Bluetooth Headset,boAt,Green, Grey,3.4,176,1299,5499,4200
boAt Rockerz 355 BBD Edition Bluetooth Headset,boAt,Active Black, In the Ear,3.5,524,2499,1998,-501
boAt Rockerz 400 Super Extra Bass Bluetooth Headset,boAt,Blue, Black,1,0,1299,5999,4700
boAt Immortal IM1300 Bluetooth Gaming Headset,boAt,White Sabre, On the Ear,3.7,1602,3499,9990,6491
boAt Rockerz 400 Bluetooth Headset,boAt,Carbon Black, On the Ear,4.3,310831,1499,2990,1491
boAt Rockerz 305v2 Bluetooth Headset,boAt,Active Black, In the Ear,4.3,7171,1599,3990,2391
Borneo HBS-730 Sports Headphone Wireless BT Earphone fo...,Borneo,Black, In the Ear,3.7,54,247,1299,1052
"Borneo Opp.o Premium Ultra HD Sound sports,|Gym|Running...",Borneo,Black, In the Ear,3.7,19,241,2499,2258
Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,Blue, Black,4,333036,799,3499,2700
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,Black, True Wireless,4,625672,1299,4999,3700
Boult Audio AirBass Combuds Bluetooth Headset,Boult,White, True Wireless,3.9,43126,1299,4999,3700
Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,Black, Grey,4,333036,999,3499,2500
Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,Blue, Black,4,333036,799,3499,2700
Boult Audio Bassbuds X1 Wired Headset,Boult,Black, In the Ear,3.9,35280,349,999,650
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,Black, True Wireless,3.7,6288,1299,4999,3700
