DATE,LEI_YOY
1/31/11,5.9
2/28/11,6.7
3/31/11,6
4/30/11,5.4
5/31/11,5.9
6/30/11,5.7
7/31/11,6.2
8/31/11,5
9/30/11,3.9
10/31/11,4.5
11/30/11,3.7
12/31/11,3.1
1/31/12,3.2
2/29/12,3.1
3/31/12,2.6
4/30/12,2.3
5/31/12,1.9
6/30/12,1.5
7/31/12,1.2
8/31/12,1.5
9/30/12,2.6
10/31/12,2
11/30/12,1.9
12/31/12,1.7
1/31/13,2
2/28/13,1.8
3/31/13,1.1
4/30/13,1.8
5/31/13,2.1
6/30/13,2.6
7/31/13,2.5
8/31/13,3.7
9/30/13,4
10/31/13,3.8
11/30/13,4.9
12/31/13,4.6
1/31/14,4.3
2/28/14,4.4
3/31/14,5.5
4/30/14,5.2
5/31/14,5.4
6/30/14,6
7/31/14,6.5
8/31/14,6
9/30/14,5.7
10/31/14,6.2
11/30/14,5.4
12/31/14,6
1/31/15,5.9
2/28/15,5.3
3/31/15,4.8
4/30/15,5.2
5/31/15,5.1
6/30/15,4.9
7/31/15,4.1
8/31/15,3.8
9/30/15,3
10/31/15,3.1
11/30/15,3.1
12/31/15,2.4
1/31/16,2
2/29/16,1.8
3/31/16,1.3
4/30/16,1.3
5/31/16,0.7
6/30/16,0.5
7/31/16,1.1
8/31/16,1.1
9/30/16,1.4
10/31/16,1.1
11/30/16,0.9
12/31/16,1.6
1/31/17,2.5
2/28/17,2.9
3/31/17,3.4
4/30/17,3.1
5/31/17,3.7
6/30/17,4
7/31/17,3.9
8/31/17,4.3
9/30/17,4.1
10/31/17,5.4
11/30/17,5.6
12/31/17,5.7
1/31/18,5.9
2/28/18,6.4
3/31/18,6.2
4/30/18,6.4